Nom,Description,Prix,Image,URL,Informations complémentaires
Collection Zeronimo - Domaine Heribert Bayer,"Immergez-vous dans l&#39;excellence de la Collection Zeronimo du Domaine Heribert Bayer. Savourez des cuvées uniques et raffinées, élaborées avec passion et savoir-faire. Plongez dans un monde de saveurs délicates et de qualité supérieure, pour une expérience incroyablement luxueuse.
La Collection Zeronimo - Domaine Heribert Bayer est une sélection du vin rouge Zeronimo Leonis Blend, du vin blanc Zeronimo Grüner Veltliner sans alcool &amp;lt;0,5%, du vin rouge Zeronimo Zweigelt sans alcool &amp;lt;0,5% et de l&#39;effervescent Zeronimo Sparkling Select sans alcool, titrant tous à 0,5%.
Profitez de la dégustation de ces fabuleux vins sans les effets de l&#39;alcool, tout en conservant les saveurs et les bienfaits santé.","89,70 €
                     


                       29,90 €
                      

                       /
                      

                       l",https://www.sanzalc.com/cdn/shop/files/IMG_4496.jpg?v=1727350406,https://www.sanzalc.com/products/collection-4-zeronimo-domaine-heribert-bayer,"Comment se faire plaisir ? Profil du goût Vous l'adorerez si… Ingrédients Informations sur les allergies Style : Spécificités : Teneur en alcool (%) : 0.5 Couleur : Volume : 300 cl Poids : 6 kg DDM (date de durabilité minimale) : ⚠️ Conseils dégustation et conservation Cette boisson a peut-être une DDM dépassée ? La vente est tout à fait possible et la sécurité des consommateurs garanties. Le consommateur est clairement informé avec parfois un affichage spécifique, tout le temps une indication sur l'emballage. En savoir plus sur les conseils de dégustation et de conservation ici"
«La Sublime» - Øffre découverte vins désalcoolisés,"Découvrez le haut de gamme du vin désalcoolisé à travers notre Øffre découverte vins désalcoolisés «La Sublime» :- 1 vin rouge sans alcool Château Clos de Boüard cuvée Prince Oscar- 1 vin effervescent French Bloom rosé 0,0% sans alcool
Retrouvez également nos autres Øffres découverte de vins désalcoolisés à offrir ou simplement à s&#39;offrir  :- «L’Élégante»- «La Curieuse»","59,00 €
                      

                       55,00 €
                      



                       36,67 €
                      

                       /
                      

                       l",https://www.sanzalc.com/cdn/shop/files/La-Sublime-ffre-d-couverte-vins-d-salcoolis-s-Sanzalc-cave-sans-alcool-pour-adultes-d-complex-s-8574.jpg?v=1712012924,https://www.sanzalc.com/products/offre-decouverte-vins-desalcoolises-la-sublime,"Comment se faire plaisir ? Profil du goût Vous l'adorerez si… Ingrédients Informations sur les allergies Style : Spécificités : Teneur en alcool (%) : 0.0 Couleur : Volume : 1,5 l Poids : 3 kg DDM (date de durabilité minimale) : ⚠️ Conseils dégustation et conservation Cette boisson a peut-être une DDM dépassée ? La vente est tout à fait possible et la sécurité des consommateurs garanties. Le consommateur est clairement informé avec parfois un affichage spécifique, tout le temps une indication sur l'emballage. En savoir plus sur les conseils de dégustation et de conservation ici"
Collection Sparkling &amp; Leonis Blend Zeronimo - Domaine Heribert Bayer,"La Collection Sparkling &amp;amp; Leonis Blend Zeronimo - Domaine Heribert Bayer est une sélection du vin rouge Zeronimo Leonis Blend et de l&#39;effervescent Zeronimo Sparkling Select sans alcool, titrant tous à 0,5%.
Profitez de la dégustation de ces fabuleux vins sans les effets de l&#39;alcool, tout en conservant les saveurs et les bienfaits santé.","89,70 €
                     


                       29,90 €
                      

                       /
                      

                       l",https://www.sanzalc.com/cdn/shop/files/Collection-Zeronimo-Domaine-Heribert-Bayer-Sanzalc-cave-sans-alcool-pour-adultes-d-complex-s-2092.jpg?v=1712020517,https://www.sanzalc.com/products/collection-zeronimo-domaine-heribert-bayer,"Comment se faire plaisir ? Profil du goût Vous l'adorerez si… Ingrédients Informations sur les allergies Style : Spécificités : Teneur en alcool (%) : 0.5 Couleur : Volume : 1,5 l Poids : 3 kg DDM (date de durabilité minimale) : ⚠️ Conseils dégustation et conservation Cette boisson a peut-être une DDM dépassée ? La vente est tout à fait possible et la sécurité des consommateurs garanties. Le consommateur est clairement informé avec parfois un affichage spécifique, tout le temps une indication sur l'emballage. En savoir plus sur les conseils de dégustation et de conservation ici"
"Collection NOOH by La Coste sans alcool 0,0%","Découvrez la collection Nooh by La Coste sans alcool 0,0%, une alternative savoureuse et rafraîchissante sans compromettre le goût.
Savourez le luxe et la qualité sans l&#39;effet de l&#39;alcool. Idéal pour les occasions spéciales ou pour un mode de vie sain.
Cette collection comprend :- 1 vin rosé NOOh by La Coste sans alcool 0,0%- 1 vin rosé effervescent NOOh by La Coste sans alcool 0,0%","52,00 €
                      

                       50,00 €
                      



                       33,33 €
                      

                       /
                      

                       l",https://www.sanzalc.com/cdn/shop/files/Collection-NOOH-by-La-Coste-sans-alcool-0-0-Sanzalc-cave-sans-alcool-pour-adultes-d-complex-s-8650.jpg?v=1712020496,https://www.sanzalc.com/products/collection-nooh-by-la-coste-sans-alcool-0-0,"Comment se faire plaisir ? Profil du goût Vous l'adorerez si… Ingrédients Informations sur les allergies Style : Spécificités : Teneur en alcool (%) : 0.0 Couleur : Volume : 1,5 l Poids : 3 kg DDM (date de durabilité minimale) : ⚠️ Conseils dégustation et conservation Cette boisson a peut-être une DDM dépassée ? La vente est tout à fait possible et la sécurité des consommateurs garanties. Le consommateur est clairement informé avec parfois un affichage spécifique, tout le temps une indication sur l'emballage. En savoir plus sur les conseils de dégustation et de conservation ici"
"Vin rouge Zeronimo Century Blend sans alcool &lt;0,5%","Coup de 🩷 de Sanzalc !Le premier vin rouge vieilli et désalcoolisé depuis 20 ans au monde
Un trésor vraiment précieux. Le premier du genre ! Cette bouteille présente le premier vin du monde vieilli et désalcoolisé pendant 20 ans, appelé Zeronimo Century Blend. Une cuvée de Blaufränkisch, de Pinot Noir et de Merlot, qui a été vieillie pendant 24 mois entiers dans de nouvelles barriques françaises avant ses 18 ans de maturation en bouteille. Les raisins provenaient de vignobles vieux de plus de 60 ans du célèbre Neckarmarkter Hochberg.
Limité à 35 bouteilles, il est disponible immédiatement en pré-réservation ! Les bouteilles sont numérotées. Premier arrivé, premier servi.
Un Must dans le domaine du Sans Alcool !
Pour tous ceux qui ont déjà pré-réservé le vin : nous traitons toutes les réservations entre le 5.12 et le 9.12 et expédions les vins. Vous recevrez les informations d&#39;expédition et la facture dès que votre vin réservé sera prêt à être expédié.","89,70 €
                     


                       29,90 €
                      

                       /
                      

                       l",https://www.sanzalc.com/cdn/shop/files/avw_zeronimo_century_blend_jpg.webp?v=1733168226,https://www.sanzalc.com/products/vin-rouge-zeronimo-century-blend-sans-alcool-0-5,"Comment se faire plaisir ? les tanins veloutés s'accordent idéalement avec un filet de biche rôti sauce grand veneur ou un Brillat Savarin truffé. Profil du goût Le ZERONIMO Leonis Blend est fruité, riche en arômes et possède une belle élégance ainsi qu'une note de bois de chêne noble. On apprécie même des tanins ronds et gourmands. Vous l'adorerez si… À déguster entre 12 et 14 degrés pour savourer au mieux l'amplitude de ses arômes ! Ingrédients CÉPAGES Blaufränkisch (50%) | Pinot Noir (30%) | Merlot (20%) ANNÉES 2002 & 2005 SITUATION Neckenmarkter Hochberg RÉGION Burgenland INGRÉDIENTS vin désalcoolisé, moût concentré, conservateurs CONSERVATEURS Peut contenir de petites quantités de matières grasses, d'acides gras saturés, de protéines et de sel. INFORMATIONS NUTRITIONNELLES MOYENNES PAR 100ML Glucides: 2,2 g dont sucre: 2.2 g Énergie kj: 52.8 Énergie kcal: 12.6 Informations sur les allergies Peut contenir de petites quantités de matières grasses, d'acides gras saturés, de protéines et de sel. Contient des sulfites. Style : Vin rouge désalcoolisé Spécificités : Le premier vin rouge du monde vieilli et déalcoolisé depuis 20 ans se présente avec des arômes secondaires et tertiaires, comme les amateurs de vins affinés apprécient. Éthérique, animant, extra-doux et en parfaite harmonie, radieux, agile et complexe. Des arômes si indescriptiblement beaux qui vous saisissent émotionnellement. C'est monumental, deux décennies d'histoire dans votre verre et une expérience de consommation d'alcool spéciale. Avons-nous vraiment fait cela ? Oui, et c'était bien. Car ce qui se manifeste ici sous forme liquide est très clair : le plus précieux est le temps ! Teneur en alcool (%) : 0.5 Couleur : Rouge rubis Volume : 75 cl Poids : 1,5 kg DDM (date de durabilité minimale) : ⚠️ Conseils dégustation et conservation Cette boisson a peut-être une DDM dépassée ? La vente est tout à fait possible et la sécurité des consommateurs garanties. Le consommateur est clairement informé avec parfois un affichage spécifique, tout le temps une indication sur l'emballage. En savoir plus sur les conseils de dégustation et de conservation ici"
"Vin rouge Zeronimo Leonis Blend sans alcool &lt;0,5%","Coup de 🩷 de Sanzalc !Il était tant attendu !
Découvrez le fameux vin rouge Zeronimo Leonis Blend sans alcool &amp;lt;0,5% du domaine viticole Heribert Bayer ! La base de ce premier vin rouge premium sans alcool d&#39;Autriche est la cuvée primée In Signo Leonis (dernièrement notée avec 98 pkts Falstaff), qui a été retirée de l&#39;alcool pour préservant l&#39;arôme.
C&#39;est le premier vin au monde à être créé à partir d&#39;un vin aussi bien noté. Les raisins Blaufränkisch, Zweigelt et Cabernet Sauvignon proviennent de cultures viticoles de plus de 60 ans du Neckarmarkter Hochberg et ont été cultivés pendant 24 mois dans de nouvelles barriques françaises. En Autriche, en Europe et aux États-Unis, le mélange de Zeronimo Leoni a été élu meilleur vin rouge sans alcool au monde par divers médias spécialisés, masters sommeliers et experts NA.
Idéal pour accompagner vos repas sans les effets de l&#39;alcool, que cela soit tous les plats de viande, mais aussi les plats mijotés.
Un Must dans le domaine du Sans Alcool !

Wine Enthusiast – Meilleur vin rouge non alcoolisé – Zeronimo Leonis Blend 2021
5 étoiles sur 5 et gagnant de l&#39;évaluation du vin sans alcool wein.plus AT &amp;amp; DE – Zeronimo Leonis Blend 2020
Drink Business Global Low &amp;amp; No Alcohol Wine Masters Bronze 2023 – Zeronimo Leonis Blend 2020","89,70 €
                     


                       29,90 €
                      

                       /
                      

                       l",https://www.sanzalc.com/cdn/shop/files/Vin-rouge-Zeronimo-Leonis-Blend-sans-alcool-0-5-Sanzalc-cave-sans-alcool-pour-adultes-d-complex-s-853.webp?v=1712019508,https://www.sanzalc.com/products/vin-rouge-zeronimo-leonis-blend-sans-alcool-0-5,"Comment se faire plaisir ? Qu'il s'agisse de légumes, de viande ou de poisson, l'essentiel est de les rôtir/griller, de les braiser ou de les cuire au four. Également excellent avec des salades fraîches, des antipasti ainsi que des plats méditerranéens et orientaux et des plats avec des composants umami tels que des champignons, des tomates, du miso ou du soja. Profil du goût Fruité, rafraîchissant, riche en arômes, avec une élégance fraîche, des notes gustatives acerbes, une acidité agile et un assaisonnement noble en bois de chêne, ZERONIMO Leon's Blend présente le vin sans alcool à un nouveau niveau. Dans le verre, un fort rubis avec des reflets violets. En bouche, se combinent des baies noires juteuses, une touche de bergamote, des cerises foncées sucrées avec du zeste d'orange, du chocolat acidulé, des notes de thé noir, une acidité agile, un assaisonnement noble en bois de chêne et une brise de vanille. Cette composition riche en finesse est complétée par une fraîcheur charmante, une minéralité et des tanins élégamment intégrés. La sensation de bouche légère, sèche, serrée et subtile - l'expérience gustative complexe, noble avec le plus haut caractère de vin. Et végétalienne, faible en calories et en sucre. L'arc de tension entre l'élégance subtile, l'acidité présente, les arômes complexes et la complexité a un effet magique et fait de Zeronimo Leonis Blend un magnifique partenaire d'appariement qui encadre parfaitement les plats. Vous l'adorerez si… À déguster entre 12 et 14 degrés pour savourer au mieux l'amplitude de ses arômes ! Ingrédients CÉPAGES Blaufränkisch, Zweigelt et Cabernet Sauvignon INGRÉDIENTS vin désalcoolisé, moût de raisin concentré rectifié CONSERVATEURS Peut contenir de petites quantités de matières grasses, d'acides gras saturés, de protéines et de sel. INFORMATIONS NUTRITIONNELLES MOYENNES PAR 100ML Glucides: 1,7 g dont sucre: 1.7 g Énergie kj: 46.0 Énergie kcal: 18.0 Informations sur les allergies Peut contenir de petites quantités de matières grasses, d'acides gras saturés, de protéines et de sel. Style : Vin rouge désalcoolisé Spécificités : Teneur en alcool (%) : 0.5 Couleur : Rouge rubis Volume : 75 cl Poids : 1,5 kg DDM (date de durabilité minimale) : ⚠️ Conseils dégustation et conservation Cette boisson a peut-être une DDM dépassée ? La vente est tout à fait possible et la sécurité des consommateurs garanties. Le consommateur est clairement informé avec parfois un affichage spécifique, tout le temps une indication sur l'emballage. En savoir plus sur les conseils de dégustation et de conservation ici"
«L’Élégante» - Øffre découverte vins désalcoolisés,"Découvrez le haut de gamme du vin désalcoolisé à travers notre Øffre découverte vins désalcoolisés «L’Élégante» :- 1 vin rouge 0.5% Noughty sans alcool- 1 vin effervescent Noughty rosé 0.0% sans alcool
Retrouvez également nos autres Øffres découverte de vins désalcoolisés à offrir ou simplement à s&#39;offrir  :- «La Sublime»- «La Curieuse»","35,00 €
                      

                       33,00 €
                      



                       22,00 €
                      

                       /
                      

                       l",https://www.sanzalc.com/cdn/shop/files/L-l-gante-ffre-d-couverte-vins-d-salcoolis-s-Sanzalc-cave-sans-alcool-pour-adultes-d-complex-s-5481.jpg?v=1712012941,https://www.sanzalc.com/products/offre-decouverte-vins-desalcoolises-l-elegante,"Comment se faire plaisir ? Profil du goût Vous l'adorerez si… Ingrédients Informations sur les allergies Style : Spécificités : Teneur en alcool (%) : 0.5 Couleur : Volume : 1,5 l Poids : 3 kg DDM (date de durabilité minimale) : ⚠️ Conseils dégustation et conservation Cette boisson a peut-être une DDM dépassée ? La vente est tout à fait possible et la sécurité des consommateurs garanties. Le consommateur est clairement informé avec parfois un affichage spécifique, tout le temps une indication sur l'emballage. En savoir plus sur les conseils de dégustation et de conservation ici"
"Vin blanc Eden by Coralie de Boüard 0,0% - Cuvée 2024","Coup de ❤️ de Sanzalc
À ce jour, un des tous meilleurs vins blancs sans alcool désalcoolisé sur le marché.
Coralie de Boüard, qui a passé son enfance auprès de son père dans les chais du Château Angélus, produit un vin sans alcool à Saint-Émilion : « On a tout fait pour retrouver la notion de fruit »
Situé à Parsac, au milieu des grands crus et des grands châteaux de St-Emilion, le domaine bénéficie d’une biodiversité privilégiée et d’un éco-système avec une forte présence de vieilles vignes. Les vins sont de grande qualité, avec des tanins soyeux et veloutés, pleins d’élégance et de fraîcheur.
Ce vin blanc Eden by Coralie de Boüard 0,0% - Cuvée 2024 est un vrai grand Bordeaux haut de gamme sans alcool, sans additif, composé à 100% de Sauvignon, issu d’un terroir argilo-calcaire d’un âge moyen de 40 ans, proche de Saint-Emilion, issu de la sélection de vin Château Clos de Boüard.
Ce vin blanc sans alcool est à consommer comme un vin blanc classique (9-11°C).Cette température permet de mettre en valeur les arômes délicats du vin et de préserver son équilibre.
Le vin de sauvignon blanc, avec son acidité naturelle et sa tension, est tout à fait désigné pour s&#39;accorder avec des fruits de mer. C&#39;est le compagnon idéal des fromages de chèvre, en particulier des fromages","25,00 €
                     


                       33,33 €
                      

                       /
                      

                       l",https://www.sanzalc.com/cdn/shop/files/avw_coralie_de_boueard_eden_d9d53035-af10-4c2e-986b-5fc18f9d416d_jpg.webp?v=1744465506,https://www.sanzalc.com/products/vin-blanc-eden-by-coralie-de-bouard-sans-alcool-0-0,"Comment se faire plaisir ? A consommer comme un vin classique (9-11°C). Cette température permet de mettre en valeur les arômes délicats du vin et de préserver son équilibre. Servez-le dans un verre à vin classique pour apprécier pleinement sa robe et ses arômes. Profil du goût Ce vin est 100% Sauvignon, issu d’un terroir argilo-calcaire d’un âge moyen de 40 ans, proche de Saint-Emilion. Produire un vin désalcoolisé, tel est le défi relevé par Coralie de Bouärd, propriétaire du château Clos de Bouärd classé en Montagne Saint-Émilion. Vous l'adorerez si… Eden by Coralie de Boüard est un choix idéal pour accompagner des plats légers et frais tels que des salades estivales ou des tartares de poisson A conserver dans un endroit sec, à l'abri de la lumière. Ingrédients Peu de calories Peu de sucre Vin désalcoolisé, moût concentré rectifié Valeurs nutritionnelles pour 100ml Energie : 5 kcal / 17 Kj Graisses : 0 g Glucides : 1 g dont sucres 1 g Protéines : 0 g Sels : 0 g Seulement 5 Kcal par 100 ml et 1 grammes de sucre résiduel, c'est une alternative bien plus saine à un verre de vin ordinaire. Vignoble : parcelle de vigne de l’Entre-Deux-Mers Appellation : Vin de France désalcoolisé Sol : argilo-calcaires Age moyen des vignes : 40 ans Assemblage : 100 % Sauvignon Blanc Production : confidentielle de 15 000 bouteilles Sélection : manuelle Wine-Maker : Coralie de Boüard de Laforest Vinification : macération à froid Fermentation en cuves inox à basse température Bâtonnage 1 fois par semaine Elevage : 2 mois en barriques de deux vins Désalcoolisation sous vide à froid Informations sur les allergies Contient des sulfites, E242 Style : Vin de France désalcoolisé Spécificités : Vignoble : 30 hectares Sol argilo-calcaire Âge moyen des vignes : 40 ans Teneur en alcool (%) : 0.0 Couleur : Dorée Volume : 75 cl Poids : 1,4 kg DDM (date de durabilité minimale) : ⚠️ Conseils dégustation et conservation Cette boisson a peut-être une DDM dépassée ? La vente est tout à fait possible et la sécurité des consommateurs garanties. Le consommateur est clairement informé avec parfois un affichage spécifique, tout le temps une indication sur l'emballage. En savoir plus sur les conseils de dégustation et de conservation ici"
"Vin rouge O&#39;dacieux 2018 sans alcool &lt;0,5%","Ce vin rouge O&#39;dacieux 2018 sans alcool 0,5% est un assemblage délicieux de Merlot et de Cabernet Sauvignon, cultivés dans la région de Bordeaux (Côtes de Bourg) lors du beau millésime 2018, une première dans le Sans Alcool !
Le nez de fruits noirs est typique d&#39;un vin de Bordeaux et en bouche vous serez séduits par les arômes de mûres, myrtilles soutenus par une structure tannique. Une réussite indéniable pour un vin sans alcool en édition limitée !
Vous profiterez d&#39;un vin de qualité sans les effets de l&#39;alcool. Parfait pour les personnes souhaitant réduire leur consommation d&#39;alcool tout en savourant un bon verre de vin de terroir, ample et profond.","89,70 €
                     


                       29,90 €
                      

                       /
                      

                       l",https://www.sanzalc.com/cdn/shop/files/Vin-rouge-O-dacieux-2018-sans-alcool-0-5-Sanzalc-cave-sans-alcool-pour-adultes-d-complex-s-2864.webp?v=1712019457,https://www.sanzalc.com/products/vin-rouge-odacieux-2018-sans-alcool-0-5,"Comment se faire plaisir ? Profil du goût Le nez de fruits noirs est typique d'un vin de Bordeaux et en bouche vous serez séduits par les arômes de mûres, myrtilles soutenus par une structure tannique Vous l'adorerez si… À déguster entre 14 et 16 degrés pour savourer au mieux tous ses arômes ! Ingrédients INGRÉDIENTS Raisins, moût de raisin concentré rectifié CONSERVATEURS Sulfites INFORMATIONS NUTRITIONNELLES MOYENNES PAR 100ML Glucides: 2.7 g dont sucre: 2.7 g Énergie kj: 70.0 Énergie kcal: 20.0 Informations sur les allergies Contient des Sulfites Style : Vin rouge désalcoolisé Spécificités : Teneur en alcool (%) : 0.5 Couleur : Rouge rubis Volume : 75 cl Poids : 1,5 kg DDM (date de durabilité minimale) : ⚠️ Conseils dégustation et conservation Cette boisson a peut-être une DDM dépassée ? La vente est tout à fait possible et la sécurité des consommateurs garanties. Le consommateur est clairement informé avec parfois un affichage spécifique, tout le temps une indication sur l'emballage. En savoir plus sur les conseils de dégustation et de conservation ici"
"Vin rouge CLOS DE BOÜARD cuvée Prince Oscar 2023 0,0%","Coup de ❤️ de Sanzalc
À ce jour, le meilleur vin rouge sans alcool désalcoolisé.
Coralie de Boüard, qui a passé son enfance auprès de son père dans les chais du Château Angélus, produit un vin sans alcool à Saint-Émilion : « On a tout fait pour retrouver la notion de fruit »
Situé à Parsac, au milieu des grands crus et des grands châteaux de St-Emilion, le domaine bénéficie d’une biodiversité privilégiée et d’un éco-système avec une forte présence de vieilles vignes. Les vins sont de grande qualité, avec des tanins soyeux et veloutés, pleins d’élégance et de fraîcheur.
Ce vin rouge sans alcool CLOS DE BOÜARD cuvée Prince Oscar 2023 est un vrai grand Bordeaux haut de gamme sans alcool, sans additif, composé de 80 % Merlot et 20% de Cabernet Franc, issu d’un terroir argilo-calcaire d’un âge moyen de 40 ans, proche de Saint-Emilion, issu de la sélection de vin Château Clos de Boüard.
À consommer comme un vin classique (15-17°C). Laisser le vin s&#39;ouvrir en l&#39;aérant 30 minutes avant. Peut également être carafé pour développer son aromatique.Cette température permet de mettre en valeur les arômes délicats du vin et de préserver son équilibre.
Château Clos de Boüard est issu d’une méthode de vinification traditionnelle avec une fermentation alcoolique puis une fermentation malolactique. Ce vin rouge sans alcool fera ensuite un élevage en barriques durant 16 mois. La désalcoolisation s’effectue à froid sous vide, en un seul passage à travers une membrane pour garder l’éclat du fruit.
La structure tannique et la complexité du Château Clos de Boüard sont donc conservées. On y retrouve aussi une jolie trame tannique, un bel équilibre avec un joli croquant, du fruit et de la gourmandise.
Appellation : MONTAGNE SAINT-EMILION","25,00 €
                     


                       33,33 €
                      

                       /
                      

                       l",https://www.sanzalc.com/cdn/shop/files/Vin-rouge-sans-alcool-CLOS-DE-BO-ARD-cuv-e-Prince-Oscar-Sanzalc-cave-sans-alcool-pour-adultes-d-complex-s-7836.webp?v=1712008625,https://www.sanzalc.com/products/vin-rouge-sans-alcool-clos-de-bouard-cuvee-prince-oscar,"Comment se faire plaisir ? A consommer comme un vin classique (15-17°C). Cette température permet de mettre en valeur les arômes délicats du vin et de préserver son équilibre. Servez-le dans un verre à vin classique pour apprécier pleinement sa robe et ses arômes. Laisser le vin s'ouvrir en l'aérant 30 minutes avant. Peut également être carafé pour développer son aromatique. Profil du goût 👃🏼 Au nez, nous notons des arômes de fraises et de prunes légèrement cuites. 👄 En bouche, belle longueur et une attaque souple sur des fruits rouges, beaucoup de gourmandises et de sucrosité. Finale épicée. Ce vin est 80 % Merlot, 15 % Cabernet Franc et 5 % Cabernet Sauvignon, issu d’un terroir argilo-calcaire d’un âge moyen de 40 ans, proche de Saint-Emilion, issu de la sélection de notre vin Château Clos de Boüard. Produire un vin désalcoolisé, tel est le défi relevé par Coralie de Bouärd, propriétaire du château Clos de Bouärd classé en Montagne Saint-Émilion. Ainsi est née la marque Prince Oscar, contraction du nom de son fils et du premier client à avoir passé commande pour ce nectar sans alcool : le Parc des Princes. Vous l'adorerez si… Le Prince Oscar se marie à merveille avec les plats de viande, les fromages affinés et les desserts chocolatés. A conserver dans un endroit sec, à l'abri de la lumière. Ingrédients Cépage : 80% de Merlot, 20% de Cabernet Franc Sans édulcorants artificiels Sans arômes artificiels Sans conservateurs Sans sulfite ajouté Peu de calories Peu de sucre Vin désalcoolisé, moût concentré de raisin Valeurs nutritionnelles pour 100ml Energie 8 cal / 32 Kj Graisses 0 g Glucides 1 g dont sucres 1 g Protéines 0 g Sels 0 g Seulement 11 calories par 100 ml et 1,6 grammes de sucre résiduel, c'est une alternative bien plus saine à un verre de vin ordinaire. Informations sur les allergies Sans sulfites ajoutés Style : Appellation : MONTAGNE SAINT-EMILION Spécificités : Appellation : MONTAGNE SAINT-EMILION Vignoble : 30 hectares Sol : Coteaux argilocalcaire exposés au Sud Âge moyen des vignes : 40 ans issu de la sélection de notre vin Château Clos de Boüard Assemblage : 80 % Merlot, 15 % Cabernet Franc et 5 % Cabernet Sauvignon Production : production confidentielle de 15 000 bouteilles Sélection : manuelle Wine-Maker : Coralie de Boüard de Laforest Vinification : macération à froid 3 à 10 jours - Fermentation malolactique en barrique Élevage : entre 12 et 16 mois 1/3 barriques neuves 1/3 barriques un vin 1/3 cuves inox Pas de collage Désalcoolisation sous vide à froid La désalcoolisation s’effectue à froid sous vide, en un seul passage à travers une membrane pour garder l’éclat du fruit. Teneur en alcool (%) : 0.0 Couleur : Rubis Volume : 75 cl Poids : 1,5 kg DDM (date de durabilité minimale) : ⚠️ Conseils dégustation et conservation Cette boisson a peut-être une DDM dépassée ? La vente est tout à fait possible et la sécurité des consommateurs garanties. Le consommateur est clairement informé avec parfois un affichage spécifique, tout le temps une indication sur l'emballage. En savoir plus sur les conseils de dégustation et de conservation ici"
