Nom,Description,Prix,Image,URL,Teneur_alcool_final,Couleur_final,Volume_final_cl,Poids_final_kg,Styles,Note_moyenne,Nombre_avis,Producteur,Pays,Producteur_nom,Producteur_description,Region
Collection Zeronimo - Domaine Heribert Bayer,"Immergez-vous dans l'excellence de la Collection Zeronimo du Domaine Heribert Bayer. Savourez des cuvées uniques et raffinées, élaborées avec passion et savoir-faire. Plongez dans un monde de saveurs délicates et de qualité supérieure, pour une expérience incroyablement luxueuse. La Collection Zeronimo - Domaine Heribert Bayer est une sélection du vin rouge Zeronimo Leonis Blend, du vin blanc Zeronimo Grüner Veltliner sans alcool &lt;0,5%, du vin rouge Zeronimo Zweigelt sans alcool &lt;0,5% et de l'effervescent Zeronimo Sparkling Select sans alcool, titrant tous à 0,5%. Profitez de la dégustation de ces fabuleux vins sans les effets de l'alcool, tout en conservant les saveurs et les bienfaits santé.","89,70 €",https://www.sanzalc.com/cdn/shop/files/IMG_4496.jpg?v=1727350406,https://www.sanzalc.com/products/collection-4-zeronimo-domaine-heribert-bayer,0.5,or,300.0,6.0,"['spécificités : teneur en alcool (%) : 0.5 couleur : volume : 300 cl poids : 6 kg ddm (date de durabilité minimale) : ⚠️ conseils dégustation et conservation cette boisson a peut', 'être une ddm dépassée ? la vente est tout à fait possible et la sécurité des consommateurs garanties. le consommateur est clairement informé avec parfois un affichage spécifique', ""tout le temps une indication sur l'emballage. en savoir plus sur les conseils de dégustation et de conservation ici""]",0.0,0,Domaine Heribert Bayer,Autriche,Domaine Heribert Bayer,Domaine Heribert Bayer,
«La Sublime» - Øffre découverte vins désalcoolisés,"Découvrez le haut de gamme du vin désalcoolisé à travers notre Øffre découverte vins désalcoolisés «La Sublime» :- 1 vin rouge sans alcool Château Clos de Boüard cuvée Prince Oscar- 1 vin effervescent French Bloom rosé 0,0% sans alcool Retrouvez également nos autres Øffres découverte de vins désalcoolisés à offrir ou simplement à s'offrir :- «L’Élégante»- «La Curieuse»","59,00 €",https://www.sanzalc.com/cdn/shop/files/La-Sublime-ffre-d-couverte-vins-d-salcoolis-s-Sanzalc-cave-sans-alcool-pour-adultes-d-complex-s-8574.jpg?v=1712012924,https://www.sanzalc.com/products/offre-decouverte-vins-desalcoolises-la-sublime,0.0,or,150.0,3.0,"['spécificités : teneur en alcool (%) : 0.0 couleur : volume : 1', '5 l poids : 3 kg ddm (date de durabilité minimale) : ⚠️ conseils dégustation et conservation cette boisson a peut', 'être une ddm dépassée ? la vente est tout à fait possible et la sécurité des consommateurs garanties. le consommateur est clairement informé avec parfois un affichage spécifique', ""tout le temps une indication sur l'emballage. en savoir plus sur les conseils de dégustation et de conservation ici""]",,0,,,,,
Collection Sparkling &amp; Leonis Blend Zeronimo - Domaine Heribert Bayer,"La Collection Sparkling &amp; Leonis Blend Zeronimo - Domaine Heribert Bayer est une sélection du vin rouge Zeronimo Leonis Blend et de l'effervescent Zeronimo Sparkling Select sans alcool, titrant tous à 0,5%. Profitez de la dégustation de ces fabuleux vins sans les effets de l'alcool, tout en conservant les saveurs et les bienfaits santé.","89,70 €",https://www.sanzalc.com/cdn/shop/files/Collection-Zeronimo-Domaine-Heribert-Bayer-Sanzalc-cave-sans-alcool-pour-adultes-d-complex-s-2092.jpg?v=1712020517,https://www.sanzalc.com/products/collection-zeronimo-domaine-heribert-bayer,0.5,or,150.0,3.0,"['spécificités : teneur en alcool (%) : 0.5 couleur : volume : 1', '5 l poids : 3 kg ddm (date de durabilité minimale) : ⚠️ conseils dégustation et conservation cette boisson a peut', 'être une ddm dépassée ? la vente est tout à fait possible et la sécurité des consommateurs garanties. le consommateur est clairement informé avec parfois un affichage spécifique', ""tout le temps une indication sur l'emballage. en savoir plus sur les conseils de dégustation et de conservation ici""]",0.0,0,Domaine Heribert Bayer,Autriche,Domaine Heribert Bayer,Domaine Heribert Bayer,
"Collection NOOH by La Coste sans alcool 0,0%","Découvrez la collection Nooh by La Coste sans alcool 0,0%, une alternative savoureuse et rafraîchissante sans compromettre le goût. Savourez le luxe et la qualité sans l'effet de l'alcool. Idéal pour les occasions spéciales ou pour un mode de vie sain. Cette collection comprend :- 1 vin rosé NOOh by La Coste sans alcool 0,0%- 1 vin rosé effervescent NOOh by La Coste sans alcool 0,0%","52,00 €",https://www.sanzalc.com/cdn/shop/files/Collection-NOOH-by-La-Coste-sans-alcool-0-0-Sanzalc-cave-sans-alcool-pour-adultes-d-complex-s-8650.jpg?v=1712020496,https://www.sanzalc.com/products/collection-nooh-by-la-coste-sans-alcool-0-0,0.0,or,150.0,3.0,"['spécificités : teneur en alcool (%) : 0.0 couleur : volume : 1', '5 l poids : 3 kg ddm (date de durabilité minimale) : ⚠️ conseils dégustation et conservation cette boisson a peut', 'être une ddm dépassée ? la vente est tout à fait possible et la sécurité des consommateurs garanties. le consommateur est clairement informé avec parfois un affichage spécifique', ""tout le temps une indication sur l'emballage. en savoir plus sur les conseils de dégustation et de conservation ici""]",0.0,0,,France,,,
"Vin rouge Zeronimo Century Blend sans alcool &lt;0,5%","Coup de 🩷 de Sanzalc !Le premier vin rouge vieilli et désalcoolisé depuis 20 ans au monde Un trésor vraiment précieux. Le premier du genre ! Cette bouteille présente le premier vin du monde vieilli et désalcoolisé pendant 20 ans, appelé Zeronimo Century Blend. Une cuvée de Blaufränkisch, de Pinot Noir et de Merlot, qui a été vieillie pendant 24 mois entiers dans de nouvelles barriques françaises avant ses 18 ans de maturation en bouteille. Les raisins provenaient de vignobles vieux de plus de 60 ans du célèbre Neckarmarkter Hochberg. Limité à 35 bouteilles, il est disponible immédiatement en pré-réservation ! Les bouteilles sont numérotées. Premier arrivé, premier servi. Un Must dans le domaine du Sans Alcool ! Pour tous ceux qui ont déjà pré-réservé le vin : nous traitons toutes les réservations entre le 5.12 et le 9.12 et expédions les vins. Vous recevrez les informations d'expédition et la facture dès que votre vin réservé sera prêt à être expédié.","89,70 €",https://www.sanzalc.com/cdn/shop/files/avw_zeronimo_century_blend_jpg.webp?v=1733168226,https://www.sanzalc.com/products/vin-rouge-zeronimo-century-blend-sans-alcool-0-5,0.5,rouge,75.0,1.5,"['vin rouge désalcoolisé spécificités : le premier vin rouge du monde vieilli et déalcoolisé depuis 20 ans se présente avec des arômes secondaires et tertiaires', 'comme les amateurs de vins affinés apprécient. éthérique', 'animant', 'extra', 'doux et en parfaite harmonie', 'radieux', ""agile et complexe. des arômes si indescriptiblement beaux qui vous saisissent émotionnellement. c'est monumental"", ""deux décennies d'histoire dans votre verre et une expérience de consommation d'alcool spéciale. avons"", 'nous vraiment fait cela ? oui', ""et c'était bien. car ce qui se manifeste ici sous forme liquide est très clair : le plus précieux est le temps ! teneur en alcool (%) : 0.5 couleur : rouge rubis volume : 75 cl poids : 1"", '5 kg ddm (date de durabilité minimale) : ⚠️ conseils dégustation et conservation cette boisson a peut', 'être une ddm dépassée ? la vente est tout à fait possible et la sécurité des consommateurs garanties. le consommateur est clairement informé avec parfois un affichage spécifique', ""tout le temps une indication sur l'emballage. en savoir plus sur les conseils de dégustation et de conservation ici""]",0.0,0,"Domaine Heribert Bayer
Il y a quelques années lorsque le couple de vignerons du Domaine Heribert Bayer attendait l’arrivée de leur premier enfant ils ont naturellement eu envie d’imaginer un vin sans-alcool consommable pendant grossesse et allaitement. 
Le Domaine autrichien se situe au coeur du Bürgenland, terroir rêvé du cépage Blaufränkisch. 
Producteurs reconnus de grands vins dont la structure ne cède rien à l’équilibre, ils se sont attachés à créer des vins désalcoolisés de très haute qualité. 
Le profil recherché de ces vins sans-alcool ? Ils doivent avoir l’aspect du vin, les arômes du vin et goûter comme du vin ! Simple mais si complexe tant leur obsession de la qualité les guide... 
C’est une fierté de vous proposer leurs superbes cuvées désalcoolisées.",Autriche,"Domaine Heribert Bayer
Il y a quelques années lorsque le couple de vignerons du Domaine Heribert Bayer attendait l’arrivée de leur premier enfant ils ont naturellement eu envie d’imaginer un vin sans-alcool consommable pendant grossesse et allaitement","Domaine Heribert Bayer
Il y a quelques années lorsque le couple de vignerons du Domaine Heribert Bayer attendait l’arrivée de leur premier enfant ils ont naturellement eu envie d’imaginer un vin sans-alcool consommable pendant grossesse et allaitement. 
Le Domaine autrichien se situe au coeur du Bürgenland, terroir rêvé du cépage Blaufränkisch. 
Producteurs reconnus de grands vins dont la structure ne cède rien à l’équilibre, ils se sont attachés à créer des vins désalcoolisés de très haute qualité. 
Le profil recherché de ces vins sans-alcool ? Ils doivent avoir l’aspect du vin, les arômes du vin et goûter comme du vin ! Simple mais si complexe tant leur obsession de la qualité les guide... 
C’est une fierté de vous proposer leurs superbes cuvées désalcoolisées.",l’équilibre
"Vin rouge Zeronimo Leonis Blend sans alcool &lt;0,5%","Coup de 🩷 de Sanzalc !Il était tant attendu ! Découvrez le fameux vin rouge Zeronimo Leonis Blend sans alcool &lt;0,5% du domaine viticole Heribert Bayer ! La base de ce premier vin rouge premium sans alcool d'Autriche est la cuvée primée In Signo Leonis (dernièrement notée avec 98 pkts Falstaff), qui a été retirée de l'alcool pour préservant l'arôme. C'est le premier vin au monde à être créé à partir d'un vin aussi bien noté. Les raisins Blaufränkisch, Zweigelt et Cabernet Sauvignon proviennent de cultures viticoles de plus de 60 ans du Neckarmarkter Hochberg et ont été cultivés pendant 24 mois dans de nouvelles barriques françaises. En Autriche, en Europe et aux États-Unis, le mélange de Zeronimo Leoni a été élu meilleur vin rouge sans alcool au monde par divers médias spécialisés, masters sommeliers et experts NA. Idéal pour accompagner vos repas sans les effets de l'alcool, que cela soit tous les plats de viande, mais aussi les plats mijotés. Un Must dans le domaine du Sans Alcool ! Wine Enthusiast – Meilleur vin rouge non alcoolisé – Zeronimo Leonis Blend 2021 5 étoiles sur 5 et gagnant de l'évaluation du vin sans alcool wein.plus AT &amp; DE – Zeronimo Leonis Blend 2020 Drink Business Global Low &amp; No Alcohol Wine Masters Bronze 2023 – Zeronimo Leonis Blend 2020","89,70 €",https://www.sanzalc.com/cdn/shop/files/Vin-rouge-Zeronimo-Leonis-Blend-sans-alcool-0-5-Sanzalc-cave-sans-alcool-pour-adultes-d-complex-s-853.webp?v=1712019508,https://www.sanzalc.com/products/vin-rouge-zeronimo-leonis-blend-sans-alcool-0-5,0.5,rouge,75.0,1.5,"['vin rouge désalcoolisé spécificités : teneur en alcool (%) : 0.5 couleur : rouge rubis volume : 75 cl poids : 1', '5 kg ddm (date de durabilité minimale) : ⚠️ conseils dégustation et conservation cette boisson a peut', 'être une ddm dépassée ? la vente est tout à fait possible et la sécurité des consommateurs garanties. le consommateur est clairement informé avec parfois un affichage spécifique', ""tout le temps une indication sur l'emballage. en savoir plus sur les conseils de dégustation et de conservation ici""]",0.0,0,"Domaine Heribert Bayer
Il y a quelques années lorsque le couple de vignerons du Domaine Heribert Bayer attendait l’arrivée de leur premier enfant ils ont naturellement eu envie d’imaginer un vin sans-alcool consommable pendant grossesse et allaitement. 
Le Domaine autrichien se situe au coeur du Bürgenland, terroir rêvé du cépage Blaufränkisch. 
Producteurs reconnus de grands vins dont la structure ne cède rien à l’équilibre, ils se sont attachés à créer des vins désalcoolisés de très haute qualité. 
Le profil recherché de ces vins sans-alcool ? Ils doivent avoir l’aspect du vin, les arômes du vin et goûter comme du vin ! Simple mais si complexe tant leur obsession de la qualité les guide... 
C’est une fierté de vous proposer leurs superbes cuvées désalcoolisées.",Autriche,"Domaine Heribert Bayer
Il y a quelques années lorsque le couple de vignerons du Domaine Heribert Bayer attendait l’arrivée de leur premier enfant ils ont naturellement eu envie d’imaginer un vin sans-alcool consommable pendant grossesse et allaitement","Domaine Heribert Bayer
Il y a quelques années lorsque le couple de vignerons du Domaine Heribert Bayer attendait l’arrivée de leur premier enfant ils ont naturellement eu envie d’imaginer un vin sans-alcool consommable pendant grossesse et allaitement. 
Le Domaine autrichien se situe au coeur du Bürgenland, terroir rêvé du cépage Blaufränkisch. 
Producteurs reconnus de grands vins dont la structure ne cède rien à l’équilibre, ils se sont attachés à créer des vins désalcoolisés de très haute qualité. 
Le profil recherché de ces vins sans-alcool ? Ils doivent avoir l’aspect du vin, les arômes du vin et goûter comme du vin ! Simple mais si complexe tant leur obsession de la qualité les guide... 
C’est une fierté de vous proposer leurs superbes cuvées désalcoolisées.",l’équilibre
«L’Élégante» - Øffre découverte vins désalcoolisés,Découvrez le haut de gamme du vin désalcoolisé à travers notre Øffre découverte vins désalcoolisés «L’Élégante» :- 1 vin rouge 0.5% Noughty sans alcool- 1 vin effervescent Noughty rosé 0.0% sans alcool Retrouvez également nos autres Øffres découverte de vins désalcoolisés à offrir ou simplement à s'offrir :- «La Sublime»- «La Curieuse»,"35,00 €",https://www.sanzalc.com/cdn/shop/files/L-l-gante-ffre-d-couverte-vins-d-salcoolis-s-Sanzalc-cave-sans-alcool-pour-adultes-d-complex-s-5481.jpg?v=1712012941,https://www.sanzalc.com/products/offre-decouverte-vins-desalcoolises-l-elegante,0.5,or,150.0,3.0,"['spécificités : teneur en alcool (%) : 0.5 couleur : volume : 1', '5 l poids : 3 kg ddm (date de durabilité minimale) : ⚠️ conseils dégustation et conservation cette boisson a peut', 'être une ddm dépassée ? la vente est tout à fait possible et la sécurité des consommateurs garanties. le consommateur est clairement informé avec parfois un affichage spécifique', ""tout le temps une indication sur l'emballage. en savoir plus sur les conseils de dégustation et de conservation ici""]",,0,,,,,
"Vin blanc Eden by Coralie de Boüard 0,0% - Cuvée 2024","Coup de ❤️ de Sanzalc À ce jour, un des tous meilleurs vins blancs sans alcool désalcoolisé sur le marché. Coralie de Boüard, qui a passé son enfance auprès de son père dans les chais du Château Angélus, produit un vin sans alcool à Saint-Émilion : « On a tout fait pour retrouver la notion de fruit » Situé à Parsac, au milieu des grands crus et des grands châteaux de St-Emilion, le domaine bénéficie d’une biodiversité privilégiée et d’un éco-système avec une forte présence de vieilles vignes. Les vins sont de grande qualité, avec des tanins soyeux et veloutés, pleins d’élégance et de fraîcheur. Ce vin blanc Eden by Coralie de Boüard 0,0% - Cuvée 2024 est un vrai grand Bordeaux haut de gamme sans alcool, sans additif, composé à 100% de Sauvignon, issu d’un terroir argilo-calcaire d’un âge moyen de 40 ans, proche de Saint-Emilion, issu de la sélection de vin Château Clos de Boüard. Ce vin blanc sans alcool est à consommer comme un vin blanc classique (9-11°C).Cette température permet de mettre en valeur les arômes délicats du vin et de préserver son équilibre. Le vin de sauvignon blanc, avec son acidité naturelle et sa tension, est tout à fait désigné pour s'accorder avec des fruits de mer. C'est le compagnon idéal des fromages de chèvre, en particulier des fromages","25,00 €",https://www.sanzalc.com/cdn/shop/files/avw_coralie_de_boueard_eden_d9d53035-af10-4c2e-986b-5fc18f9d416d_jpg.webp?v=1744465506,https://www.sanzalc.com/products/vin-blanc-eden-by-coralie-de-bouard-sans-alcool-0-0,0.0,dorée,75.0,1.4,"['vin de france désalcoolisé spécificités : vignoble : 30 hectares sol argilo', 'calcaire âge moyen des vignes : 40 ans teneur en alcool (%) : 0.0 couleur : dorée volume : 75 cl poids : 1', '4 kg ddm (date de durabilité minimale) : ⚠️ conseils dégustation et conservation cette boisson a peut', 'être une ddm dépassée ? la vente est tout à fait possible et la sécurité des consommateurs garanties. le consommateur est clairement informé avec parfois un affichage spécifique', ""tout le temps une indication sur l'emballage. en savoir plus sur les conseils de dégustation et de conservation ici""]",0.0,0,"CLOS DE BOÜARD

Coralie de Boüard a passé son enfance à Saint-Émilion, au Château Angélus. Très tôt, elle a accompagné son père dans les chais et a travaillé avec lui pendant dix ans sur ce domaine légendaire. En 2012, elle a pris la direction du Château La Fleur de Boüard, acquis par la famille de Boüard en 1998.

Coralie est une vigneronne engagée, passionnée, enthousiaste et créative, mais aussi une mère fière de transmettre à son tour sa passion et ses valeurs familiales.

Situé à Parsac, au milieu des grands crus et des grands châteaux de St-Emilion, le domaine bénéficie d’une biodiversité privilégiée et d’un éco-système avec une forte présence de vieilles vignes. Les vins sont de grande qualité, avec des tanins soyeux et veloutés, pleins d’élégance et de fraîcheur.",France,"CLOS DE BOÜARD

Coralie de Boüard a passé son enfance à Saint-Émilion, au Château Angélus","CLOS DE BOÜARD

Coralie de Boüard a passé son enfance à Saint-Émilion, au Château Angélus. Très tôt, elle a accompagné son père dans les chais et a travaillé avec lui pendant dix ans sur ce domaine légendaire. En 2012, elle a pris la direction du Château La Fleur de Boüard, acquis par la famille de Boüard en 1998.

Coralie est une vigneronne engagée, passionnée, enthousiaste et créative, mais aussi une mère fière de transmettre à son tour sa passion et ses valeurs familiales.

Situé à Parsac, au milieu des grands crus et des grands châteaux de St-Emilion, le domaine bénéficie d’une biodiversité privilégiée et d’un éco-système avec une forte présence de vieilles vignes. Les vins sont de grande qualité, avec des tanins soyeux et veloutés, pleins d’élégance et de fraîcheur.",Saint-Émilion
"Vin rouge O&#39;dacieux 2018 sans alcool &lt;0,5%","Ce vin rouge O'dacieux 2018 sans alcool 0,5% est un assemblage délicieux de Merlot et de Cabernet Sauvignon, cultivés dans la région de Bordeaux (Côtes de Bourg) lors du beau millésime 2018, une première dans le Sans Alcool ! Le nez de fruits noirs est typique d'un vin de Bordeaux et en bouche vous serez séduits par les arômes de mûres, myrtilles soutenus par une structure tannique. Une réussite indéniable pour un vin sans alcool en édition limitée ! Vous profiterez d'un vin de qualité sans les effets de l'alcool. Parfait pour les personnes souhaitant réduire leur consommation d'alcool tout en savourant un bon verre de vin de terroir, ample et profond.","89,70 €",https://www.sanzalc.com/cdn/shop/files/Vin-rouge-O-dacieux-2018-sans-alcool-0-5-Sanzalc-cave-sans-alcool-pour-adultes-d-complex-s-2864.webp?v=1712019457,https://www.sanzalc.com/products/vin-rouge-odacieux-2018-sans-alcool-0-5,0.5,rouge,75.0,1.5,"['vin rouge désalcoolisé spécificités : teneur en alcool (%) : 0.5 couleur : rouge rubis volume : 75 cl poids : 1', '5 kg ddm (date de durabilité minimale) : ⚠️ conseils dégustation et conservation cette boisson a peut', 'être une ddm dépassée ? la vente est tout à fait possible et la sécurité des consommateurs garanties. le consommateur est clairement informé avec parfois un affichage spécifique', ""tout le temps une indication sur l'emballage. en savoir plus sur les conseils de dégustation et de conservation ici""]",5.0,1,"Château Sauman
Surplombant l’estuaire de la Gironde, le Château Sauman est situé au nord de l’appellation Côtes de Bourg. Son vignoble bénéficie de tous les atouts d’une nature et d’un terroir généreux. Il s’épanouit sur de riches côteaux argilo-calcaires et profite d’un microclimat qui le protège des gelées printanières.",France,"Château Sauman
Surplombant l’estuaire de la Gironde, le Château Sauman est situé au nord de l’appellation Côtes de Bourg","Château Sauman
Surplombant l’estuaire de la Gironde, le Château Sauman est situé au nord de l’appellation Côtes de Bourg. Son vignoble bénéficie de tous les atouts d’une nature et d’un terroir généreux. Il s’épanouit sur de riches côteaux argilo-calcaires et profite d’un microclimat qui le protège des gelées printanières.",
"Vin rouge CLOS DE BOÜARD cuvée Prince Oscar 2023 0,0%","Coup de ❤️ de Sanzalc À ce jour, le meilleur vin rouge sans alcool désalcoolisé. Coralie de Boüard, qui a passé son enfance auprès de son père dans les chais du Château Angélus, produit un vin sans alcool à Saint-Émilion : « On a tout fait pour retrouver la notion de fruit » Situé à Parsac, au milieu des grands crus et des grands châteaux de St-Emilion, le domaine bénéficie d’une biodiversité privilégiée et d’un éco-système avec une forte présence de vieilles vignes. Les vins sont de grande qualité, avec des tanins soyeux et veloutés, pleins d’élégance et de fraîcheur. Ce vin rouge sans alcool CLOS DE BOÜARD cuvée Prince Oscar 2023 est un vrai grand Bordeaux haut de gamme sans alcool, sans additif, composé de 80 % Merlot et 20% de Cabernet Franc, issu d’un terroir argilo-calcaire d’un âge moyen de 40 ans, proche de Saint-Emilion, issu de la sélection de vin Château Clos de Boüard. À consommer comme un vin classique (15-17°C). Laisser le vin s'ouvrir en l'aérant 30 minutes avant. Peut également être carafé pour développer son aromatique.Cette température permet de mettre en valeur les arômes délicats du vin et de préserver son équilibre. Château Clos de Boüard est issu d’une méthode de vinification traditionnelle avec une fermentation alcoolique puis une fermentation malolactique. Ce vin rouge sans alcool fera ensuite un élevage en barriques durant 16 mois. La désalcoolisation s’effectue à froid sous vide, en un seul passage à travers une membrane pour garder l’éclat du fruit. La structure tannique et la complexité du Château Clos de Boüard sont donc conservées. On y retrouve aussi une jolie trame tannique, un bel équilibre avec un joli croquant, du fruit et de la gourmandise. Appellation : MONTAGNE SAINT-EMILION","25,00 €",https://www.sanzalc.com/cdn/shop/files/Vin-rouge-sans-alcool-CLOS-DE-BO-ARD-cuv-e-Prince-Oscar-Sanzalc-cave-sans-alcool-pour-adultes-d-complex-s-7836.webp?v=1712008625,https://www.sanzalc.com/products/vin-rouge-sans-alcool-clos-de-bouard-cuvee-prince-oscar,0.0,rubis,75.0,1.5,"['appellation : montagne saint', 'emilion spécificités : appellation : montagne saint', 'emilion vignoble : 30 hectares sol : coteaux argilocalcaire exposés au sud âge moyen des vignes : 40 ans issu de la sélection de notre vin château clos de boüard assemblage : 80 % merlot', '15 % cabernet franc et 5 % cabernet sauvignon production : production confidentielle de 15 000 bouteilles sélection : manuelle wine', 'maker : coralie de boüard de laforest vinification : macération à froid 3 à 10 jours', 'fermentation malolactique en barrique élevage : entre 12 et 16 mois 1/3 barriques neuves 1/3 barriques un vin 1/3 cuves inox pas de collage désalcoolisation sous vide à froid la désalcoolisation s’effectue à froid sous vide', 'en un seul passage à travers une membrane pour garder l’éclat du fruit. teneur en alcool (%) : 0.0 couleur : rubis volume : 75 cl poids : 1', '5 kg ddm (date de durabilité minimale) : ⚠️ conseils dégustation et conservation cette boisson a peut', 'être une ddm dépassée ? la vente est tout à fait possible et la sécurité des consommateurs garanties. le consommateur est clairement informé avec parfois un affichage spécifique', ""tout le temps une indication sur l'emballage. en savoir plus sur les conseils de dégustation et de conservation ici""]",3.67,3,"CLOS DE BOÜARD

Coralie de Boüard a passé son enfance à Saint-Émilion, au Château Angélus. Très tôt, elle a accompagné son père dans les chais et a travaillé avec lui pendant dix ans sur ce domaine légendaire. En 2012, elle a pris la direction du Château La Fleur de Boüard, acquis par la famille de Boüard en 1998.

Coralie est une vigneronne engagée, passionnée, enthousiaste et créative, mais aussi une mère fière de transmettre à son tour sa passion et ses valeurs familiales.

Situé à Parsac, au milieu des grands crus et des grands châteaux de St-Emilion, le domaine bénéficie d’une biodiversité privilégiée et d’un éco-système avec une forte présence de vieilles vignes. Les vins sont de grande qualité, avec des tanins soyeux et veloutés, pleins d’élégance et de fraîcheur.",France,"CLOS DE BOÜARD

Coralie de Boüard a passé son enfance à Saint-Émilion, au Château Angélus","CLOS DE BOÜARD

Coralie de Boüard a passé son enfance à Saint-Émilion, au Château Angélus. Très tôt, elle a accompagné son père dans les chais et a travaillé avec lui pendant dix ans sur ce domaine légendaire. En 2012, elle a pris la direction du Château La Fleur de Boüard, acquis par la famille de Boüard en 1998.

Coralie est une vigneronne engagée, passionnée, enthousiaste et créative, mais aussi une mère fière de transmettre à son tour sa passion et ses valeurs familiales.

Situé à Parsac, au milieu des grands crus et des grands châteaux de St-Emilion, le domaine bénéficie d’une biodiversité privilégiée et d’un éco-système avec une forte présence de vieilles vignes. Les vins sont de grande qualité, avec des tanins soyeux et veloutés, pleins d’élégance et de fraîcheur.",Saint-Émilion
